Week,Location,Daily.Rainfall.Total.mm,Mean.Temperature.C,Mean.Wind.Speed.kmh,Cases
1,Jurong (West),13.125,25.8625,5.9875,0
1,Jurong Island,11.2,26.875,6.35,0
1,Jurong Pier,11.1,NA,NA,0
1,Kent Ridge,12,NA,NA,0
1,Khatib,18.68571429,26.3,4.7625,0
1,Kranji Reservoir,10.425,NA,NA,0
1,Lim Chu Kang,5.55,NA,NA,0
1,Lower Peirce Reservoir,9.857142857,NA,NA,0
1,Macritchie Reservoir,12.35,NA,NA,0
1,Mandai,15.2,NA,NA,0
1,Marina Barrage,12.8,26.9,6.6,0
1,Marine Parade,7.925,NA,NA,0
1,Newton,21.48571429,25.7,5.257142857,0
1,Nicoll Highway,13.275,NA,NA,0
1,Pasir Panjang,12.625,26.7875,9.35,0
1,Pasir Ris (Central),14.6,NA,NA,5
1,Pasir Ris (West),10.95714286,NA,NA,0
1,Paya Lebar,16.8625,26.85,9.2625,0
1,Pulau Ubin,7.6,25.7875,9.614285714,0
2,Jurong (West),19.22857143,23.81428571,8.285714286,0
2,Jurong Island,12.68571429,24.95714286,8.171428571,0
2,Jurong Pier,24.8,NA,NA,0
2,Kent Ridge,14.5,NA,NA,1
2,Khatib,30.48571429,24.35714286,5.3,0
2,Kranji Reservoir,31.3,NA,NA,0
2,Lim Chu Kang,25.08,NA,NA,0
2,Lower Peirce Reservoir,36.7,NA,NA,0
2,Macritchie Reservoir,26.56,NA,NA,0
2,Mandai,20.68571429,NA,NA,0
2,Marina Barrage,21.2,25.46,8.58,0
2,Marine Parade,15.48571429,NA,NA,0
2,Newton,28.7,24.875,6.05,0
2,Nicoll Highway,24.52,NA,NA,0
2,Pasir Panjang,13.6,24.8,14.71428571,0
2,Pasir Ris (Central),23.28571429,NA,NA,5
2,Pasir Ris (West),17.8,NA,NA,0
2,Paya Lebar,30.31428571,24.97142857,13.7,17
2,Pulau Ubin,20.5,24.18333333,8.166666667,0
3,Jurong (West),0.685714286,26.15714286,7.857142857,0
3,Jurong Island,1.4,27.08571429,6.842857143,0
3,Jurong Pier,6.533333333,NA,NA,0
3,Kent Ridge,5.942857143,NA,NA,0
3,Khatib,5.971428571,26.81428571,4.928571429,0
3,Kranji Reservoir,6.114285714,NA,NA,0
3,Lim Chu Kang,4.7,NA,NA,0
3,Lower Peirce Reservoir,3.4,NA,NA,0
3,Macritchie Reservoir,9.033333333,NA,NA,0
