"Week","Location","Daily.Rainfall.Total.mm","Mean.Temperature.C","Mean.Wind.Speed.kmh","Cases"
1,"Punggol",12.45,NA,NA,7
1,"Queenstown",22.4571428571429,NA,NA,0
1,"Seletar",9.525,NA,8.4125,0
1,"Semakau Island",NA,NA,NA,0
1,"Sembawang",19.7,NA,9.78,0
1,"Sentosa Island",11.6333333333333,27.025,4.98,0
1,"Serangoon",22.0333333333333,NA,NA,0
1,"Simei",5.64285714285714,NA,NA,0
1,"Somerset (Road)",21.625,NA,NA,0
1,"Tai Seng",8.025,26.6625,5.675,0
1,"Tanjong Katong",7.95,NA,NA,0
2,"Punggol",18.4285714285714,NA,NA,23
2,"Queenstown",16.9714285714286,NA,NA,0
2,"Seletar",22.2285714285714,NA,8.07142857142857,0
2,"Semakau Island",NA,NA,NA,0
2,"Sembawang",21.9285714285714,NA,11.4,0
2,"Sentosa Island",17.68,24.9,6.42,0
2,"Serangoon",13.2,NA,NA,0
2,"Simei",34.75,NA,NA,0
2,"Somerset (Road)",18.0285714285714,NA,NA,0
2,"Tai Seng",26.9142857142857,24.8571428571429,6.38571428571429,1
2,"Tanjong Katong",17.1428571428571,NA,NA,2
3,"Punggol",4.14285714285714,NA,NA,0
3,"Queenstown",2.54285714285714,NA,NA,0
3,"Seletar",4.51428571428571,NA,10.1857142857143,0
3,"Semakau Island",7.32,NA,14.2833333333333,0
3,"Sembawang",2.4,NA,13,0
3,"Sentosa Island",0.742857142857143,27,5.18571428571429,0
3,"Serangoon",7.76666666666667,NA,NA,0
3,"Simei",5,NA,NA,2
3,"Somerset (Road)",5.54285714285714,NA,NA,0
3,"Tai Seng",5.88571428571429,27.0142857142857,7.45714285714286,0
3,"Tanjong Katong",8.14285714285714,NA,NA,1
4,"Punggol",7.97142857142857,NA,NA,0
4,"Queenstown",10.7714285714286,NA,NA,0
4,"Seletar",14.2,NA,7.75714285714286,0
4,"Semakau Island",12.0285714285714,NA,16.1142857142857,0
4,"Sembawang",19.1285714285714,NA,8.84,0
4,"Sentosa Island",13.4,27.2142857142857,4.62857142857143,0
4,"Serangoon",11.5,NA,NA,0
4,"Simei",5.32857142857143,NA,NA,2
4,"Somerset (Road)",14.5142857142857,NA,NA,0
4,"Tai Seng",7,27.3428571428571,6.17142857142857,0
4,"Tanjong Katong",9.37142857142857,NA,NA,0
5,"Punggol",10,NA,NA,0
5,"Queenstown",2.34285714285714,NA,NA,0
5,"Seletar",17.7142857142857,NA,14.3857142857143,0
5,"Semakau Island",2.2,NA,22.8857142857143,0
5,"Sembawang",12,NA,15.0166666666667,0
5,"Sentosa Island",1.91428571428571,27.7285714285714,5.85714285714286,0
5,"Serangoon",5.92,NA,NA,0
5,"Simei",6.97142857142857,NA,NA,2
5,"Somerset (Road)",1.45714285714286,NA,NA,0
5,"Tai Seng",8.8,27.4714285714286,9.31428571428571,0
5,"Tanjong Katong",7.8,NA,NA,0
6,"Punggol",0.0571428571428571,NA,NA,0
6,"Queenstown",0,NA,NA,0
6,"Seletar",0,NA,19.3714285714286,0
6,"Semakau Island",0,NA,26.9714285714286,0
6,"Sembawang",0.0285714285714286,NA,21.52,0
6,"Sentosa Island",0.0285714285714286,27.2714285714286,6.68571428571429,0
6,"Serangoon",0,NA,NA,0
6,"Simei",0,NA,NA,3
6,"Somerset (Road)",0,NA,NA,0
6,"Tai Seng",0.2,26.6714285714286,12.2857142857143,0
6,"Tanjong Katong",0,NA,NA,0
7,"Punggol",0.257142857142857,NA,NA,0
7,"Queenstown",0,NA,NA,0
7,"Seletar",2.62857142857143,NA,15.0142857142857,0
7,"Semakau Island",5.71428571428571,NA,19.1857142857143,0
7,"Sembawang",4.85714285714286,NA,18.8,0
7,"Sentosa Island",0,27.8285714285714,6.48571428571429,0
7,"Serangoon",0.371428571428571,NA,NA,0
7,"Simei",0.228571428571429,NA,NA,4
7,"Somerset (Road)",0,NA,NA,0
7,"Tai Seng",1.8,27.4857142857143,9.8,0
7,"Tanjong Katong",0.0285714285714286,NA,NA,2
8,"Punggol",0.2,NA,NA,0
8,"Queenstown",2.14285714285714,NA,NA,0
8,"Seletar",0.514285714285714,NA,14.8714285714286,0
8,"Semakau Island",3.54285714285714,NA,19.8,0
8,"Sembawang",0.414285714285714,NA,15.3166666666667,0
8,"Sentosa Island",4.4,27.6428571428571,6.05714285714286,0
8,"Serangoon",1.7,NA,NA,0
8,"Simei",0.171428571428571,NA,NA,1
8,"Somerset (Road)",1.17142857142857,NA,NA,0
8,"Tai Seng",0.228571428571429,27.5142857142857,9.51428571428571,0
8,"Tanjong Katong",0.542857142857143,NA,NA,1
9,"Punggol",4.6,NA,NA,0
9,"Queenstown",6.62857142857143,NA,NA,0
9,"Seletar",8.62857142857143,NA,12.9,0
9,"Semakau Island",0.228571428571429,NA,16.5428571428571,0
9,"Sembawang",12.8571428571429,NA,15.2,0
9,"Sentosa Island",5.31428571428571,28.1,5.5,0
9,"Serangoon",4.94285714285714,NA,NA,0
9,"Simei",0.228571428571429,NA,NA,0
9,"Somerset (Road)",5.68571428571429,NA,NA,0
9,"Tai Seng",3.45714285714286,28.0142857142857,8.28571428571429,0
9,"Tanjong Katong",1.54285714285714,NA,NA,0
10,"Punggol",3.28571428571429,NA,NA,0
10,"Queenstown",1.28571428571429,NA,NA,0
10,"Seletar",4.48571428571429,NA,14.9142857142857,0
10,"Semakau Island",1.28571428571429,NA,19.6428571428571,0
10,"Sembawang",4.2,NA,14.62,0
10,"Sentosa Island",3.4,28.0571428571429,5.71428571428571,0
10,"Serangoon",2.77142857142857,NA,NA,0
10,"Simei",2.88571428571429,NA,NA,0
10,"Somerset (Road)",1.57142857142857,NA,NA,0
10,"Tai Seng",1.97142857142857,27.9285714285714,9.05714285714286,2
10,"Tanjong Katong",2.02857142857143,NA,NA,0
11,"Punggol",0,NA,NA,0
11,"Queenstown",2.57142857142857,NA,NA,0
11,"Seletar",1.8,NA,13.5857142857143,0
11,"Semakau Island",0.142857142857143,NA,18.4571428571429,0
11,"Sembawang",0,NA,13.34,0
11,"Sentosa Island",0.142857142857143,28.5571428571429,6.18571428571429,0
11,"Serangoon",1.65714285714286,NA,NA,0
11,"Simei",0.0285714285714286,NA,NA,3
11,"Somerset (Road)",1.14285714285714,NA,NA,0
11,"Tai Seng",0.571428571428571,28.6,8.6,0
11,"Tanjong Katong",2,NA,NA,0
12,"Punggol",0.714285714285714,NA,NA,0
12,"Queenstown",17.8285714285714,NA,NA,0
12,"Seletar",0.771428571428571,NA,12.9714285714286,0
12,"Semakau Island",0.942857142857143,NA,18.6714285714286,0
12,"Sembawang",0.371428571428571,NA,12.68,0
12,"Sentosa Island",2.34285714285714,28.4714285714286,6.1,0
12,"Serangoon",3.77142857142857,NA,NA,0
12,"Simei",0.742857142857143,NA,NA,3
12,"Somerset (Road)",12.4,NA,NA,0
12,"Tai Seng",0.371428571428571,28.4857142857143,8.18571428571429,0
12,"Tanjong Katong",1.22857142857143,NA,NA,0
13,"Punggol",3.6,NA,NA,0
13,"Queenstown",7.82857142857143,NA,NA,0
13,"Seletar",6.2,NA,9.21428571428572,0
13,"Semakau Island",7.8,NA,14.6142857142857,0
13,"Sembawang",9.12857142857143,NA,9.48333333333333,0
13,"Sentosa Island",7.8,27.4571428571429,4.88571428571429,0
13,"Serangoon",6.33333333333333,NA,NA,0
13,"Simei",3.34285714285714,NA,NA,1
13,"Somerset (Road)",1,NA,NA,0
13,"Tai Seng",8.31428571428571,27.3571428571429,6.28,0
13,"Tanjong Katong",5.08571428571429,NA,NA,0
14,"Punggol",6.57142857142857,NA,NA,0
14,"Queenstown",0.371428571428571,NA,NA,0
14,"Seletar",3.11428571428571,NA,12.6571428571429,0
14,"Semakau Island",0.2,NA,18.5285714285714,0
14,"Sembawang",1.94285714285714,NA,11.28,0
14,"Sentosa Island",2.51428571428571,28.5142857142857,6.21428571428571,0
14,"Serangoon",13.76,NA,NA,0
14,"Simei",0.828571428571429,NA,NA,0
14,"Somerset (Road)",2.4,NA,NA,0
14,"Tai Seng",5.25714285714286,28.5,7.51428571428571,0
14,"Tanjong Katong",7.57142857142857,NA,NA,0
15,"Punggol",2.25714285714286,NA,NA,0
15,"Queenstown",3.51428571428571,NA,NA,0
15,"Seletar",2.42857142857143,NA,12.2428571428571,0
15,"Semakau Island",0.828571428571429,NA,15.7285714285714,0
15,"Sembawang",3.62857142857143,NA,14.76,0
15,"Sentosa Island",3.62857142857143,28.7857142857143,5.67142857142857,0
15,"Serangoon",7.78571428571429,NA,NA,0
15,"Simei",2.91428571428571,NA,NA,0
15,"Somerset (Road)",6.62857142857143,NA,NA,0
15,"Tai Seng",4.74285714285714,28.9428571428571,7.04285714285714,0
15,"Tanjong Katong",0.08,NA,NA,0
16,"Punggol",13.3428571428571,NA,NA,0
16,"Queenstown",13.0285714285714,NA,NA,0
16,"Seletar",9.37142857142857,NA,8.95714285714286,0
