,year,eweek,dengue cases
0,2014,1,436.0
1,2014,2,479.0
2,2014,3,401.0
3,2014,4,336.0
4,2014,5,234.0
5,2014,6,273.0
6,2014,7,369.0
7,2014,8,193.0
8,2014,9,186.0
9,2014,10,209.0
10,2014,11,224.0
11,2014,12,210.0
12,2014,13,225.0
13,2014,14,240.0
14,2014,15,244.0
15,2014,16,235.0
16,2014,17,282.0
17,2014,18,251.0
18,2014,19,261.0
19,2014,20,291.0
20,2014,21,427.0
21,2014,22,456.0
22,2014,23,458.0
23,2014,24,506.0
24,2014,25,550.0
25,2014,26,671.0
26,2014,27,888.0
27,2014,28,818.0
28,2014,29,744.0
29,2014,30,633.0
30,2014,31,484.0
31,2014,32,545.0
32,2014,33,438.0
33,2014,34,418.0
34,2014,35,367.0
35,2014,36,339.0
36,2014,37,362.0
37,2014,38,396.0
38,2014,39,344.0
39,2014,40,339.0
40,2014,41,278.0
41,2014,42,297.0
42,2014,43,213.0
43,2014,44,186.0
44,2014,45,168.0
45,2014,46,158.0
46,2014,47,149.0
47,2014,48,162.0
48,2014,49,212.0
49,2014,50,177.0
50,2014,51,198.0
51,2014,52,188.0
53,2015,1,256.0
54,2015,2,228.0
55,2015,3,238.0
56,2015,4,259.0
57,2015,5,212.0
58,2015,6,173.0
59,2015,7,98.0
60,2015,8,172.0
61,2015,9,189.0
62,2015,10,110.0
63,2015,11,91.0
64,2015,12,129.0
65,2015,13,90.0
66,2015,14,107.0
67,2015,15,137.0
68,2015,16,113.0
69,2015,17,119.0
70,2015,18,135.0
71,2015,19,157.0
72,2015,20,109.0
73,2015,21,178.0
74,2015,22,151.0
75,2015,23,192.0
76,2015,24,207.0
77,2015,25,240.0
78,2015,26,242.0
79,2015,27,272.0
80,2015,28,263.0
81,2015,29,293.0
82,2015,30,250.0
83,2015,31,226.0
84,2015,32,221.0
85,2015,33,250.0
86,2015,34,225.0
87,2015,35,246.0
88,2015,36,217.0
89,2015,37,303.0
90,2015,38,214.0
91,2015,39,257.0
92,2015,40,236.0
93,2015,41,235.0
94,2015,42,224.0
95,2015,43,246.0
96,2015,44,266.0
97,2015,45,198.0
98,2015,46,254.0
99,2015,47,282.0
100,2015,48,259.0
101,2015,49,356.0
102,2015,50,333.0
103,2015,51,367.0
104,2015,52,457.0
106,2016,1,545.0
107,2016,2,620.0
108,2016,3,636.0
109,2016,4,623.0
110,2016,5,523.0
111,2016,6,419.0
112,2016,7,589.0
113,2016,8,507.0
114,2016,9,411.0
115,2016,10,394.0
116,2016,11,372.0
117,2016,12,301.0
118,2016,13,376.0
119,2016,14,289.0
120,2016,15,221.0
121,2016,16,228.0
122,2016,17,242.0
123,2016,18,178.0
124,2016,19,215.0
125,2016,20,211.0
126,2016,21,198.0
127,2016,22,214.0
128,2016,23,157.0
129,2016,24,192.0
130,2016,25,213.0
131,2016,26,234.0
132,2016,27,245.0
133,2016,28,223.0
134,2016,29,266.0
135,2016,30,219.0
136,2016,31,209.0
137,2016,32,196.0
138,2016,33,219.0
139,2016,34,271.0
140,2016,35,308.0
141,2016,36,238.0
142,2016,37,174.0
143,2016,38,173.0
144,2016,39,135.0
145,2016,40,124.0
146,2016,41,94.0
147,2016,42,106.0
148,2016,43,81.0
149,2016,44,85.0
150,2016,45,82.0
151,2016,46,71.0
152,2016,47,74.0
153,2016,48,86.0
154,2016,49,59.0
155,2016,50,81.0
156,2016,51,70.0
157,2016,52,64.0
159,2017,1,70.0
160,2017,2,90.0
161,2017,3,73.0
162,2017,4,63.0
163,2017,5,62.0
164,2017,6,77.0
165,2017,7,51.0
166,2017,8,54.0
167,2017,9,41.0
168,2017,10,32.0
169,2017,11,34.0
170,2017,12,32.0
171,2017,13,49.0
172,2017,14,37.0
173,2017,15,32.0
174,2017,16,51.0
175,2017,17,37.0
176,2017,18,40.0
177,2017,19,48.0
178,2017,20,48.0
179,2017,21,50.0
180,2017,22,66.0
181,2017,23,62.0
182,2017,24,78.0
183,2017,25,73.0
184,2017,26,75.0
185,2017,27,63.0
186,2017,28,53.0
187,2017,29,51.0
188,2017,30,65.0
189,2017,31,60.0
190,2017,32,56.0
191,2017,33,51.0
192,2017,34,51.0
193,2017,35,33.0
194,2017,36,40.0
195,2017,37,53.0
196,2017,38,58.0
197,2017,39,39.0
198,2017,40,51.0
199,2017,41,55.0
200,2017,42,62.0
201,2017,43,77.0
202,2017,44,62.0
203,2017,45,44.0
204,2017,46,50.0
205,2017,47,24.0
206,2017,48,37.0
207,2017,49,33.0
208,2017,50,40.0
209,2017,51,51.0
210,2017,52,66.0
212,2018,1,83.0
213,2018,2,68.0
214,2018,3,54.0
215,2018,4,45.0
216,2018,5,48.0
217,2018,6,50.0
218,2018,7,28.0
