,population
1/1/1950,1022100
8/1/1950,1023217
15/1/1950,1024333
22/1/1950,1025450
29/1/1950,1026566
5/2/1950,1027683
12/2/1950,1028800
19/2/1950,1029916
26/2/1950,1031033
5/3/1950,1032150
12/3/1950,1033266
19/3/1950,1034383
26/3/1950,1035499
2/4/1950,1036616
9/4/1950,1037733
16/4/1950,1038849
23/4/1950,1039966
30/4/1950,1041082
7/5/1950,1042199
14/5/1950,1043316
21/5/1950,1044432
28/5/1950,1045549
4/6/1950,1046665
11/6/1950,1047782
18/6/1950,1048899
25/6/1950,1050015
2/7/1950,1051132
9/7/1950,1052249
16/7/1950,1053365
23/7/1950,1054482
30/7/1950,1055598
6/8/1950,1056715
13/8/1950,1057832
20/8/1950,1058948
27/8/1950,1060065
3/9/1950,1061181
10/9/1950,1062298
17/9/1950,1063415
24/9/1950,1064531
1/10/1950,1065648
8/10/1950,1066765
15/10/1950,1067881
22/10/1950,1068998
29/10/1950,1070114
5/11/1950,1071231
12/11/1950,1072348
19/11/1950,1073464
26/11/1950,1074581
3/12/1950,1075697
10/12/1950,1076814
17/12/1950,1077931
24/12/1950,1079047
31/12/1950,1080164
7/1/1951,1081281
14/1/1951,1082397
21/1/1951,1083514
28/1/1951,1084630
4/2/1951,1085747
11/2/1951,1086864
18/2/1951,1087980
25/2/1951,1089097
4/3/1951,1090213
11/3/1951,1091330
18/3/1951,1092447
25/3/1951,1093563
1/4/1951,1094680
8/4/1951,1095796
15/4/1951,1096913
22/4/1951,1098030
29/4/1951,1099146
6/5/1951,1100263
13/5/1951,1101380
20/5/1951,1102496
27/5/1951,1103613
3/6/1951,1104729
10/6/1951,1105846
17/6/1951,1106963
24/6/1951,1108079
1/7/1951,1109196
8/7/1951,1110312
15/7/1951,1111429
22/7/1951,1112546
29/7/1951,1113662
5/8/1951,1114779
12/8/1951,1115896
19/8/1951,1117012
26/8/1951,1118129
2/9/1951,1119245
9/9/1951,1120362
16/9/1951,1121479
23/9/1951,1122595
30/9/1951,1123712
7/10/1951,1124828
14/10/1951,1125945
21/10/1951,1127062
28/10/1951,1128178
4/11/1951,1129295
11/11/1951,1130412
18/11/1951,1131528
25/11/1951,1132645
2/12/1951,1133761
9/12/1951,1134878
16/12/1951,1135995
